engine,month,noise,egt,ff,n1,n2,fp_noise,fp_egt,fp_ff,fp_n1,fp_n2,failure_prob
1,1,130,1300,5000,12000,10000,0,0,0,0,0,0
1,2,130.36,1344,5039,12102,10103,0,0,0,0,0,0
1,3,130.75,1384,5077,12205,10207,0,0,0,0,0,0
1,4,131.17,1425,5117,12305,10311,0,0,0,0,0,0
1,5,131.72,1467,5158,12410,10413,0,0,0,0,0,0
1,6,131.88,1509,5197,12511,10517,0,0,0,0,0,0
1,7,132.08,1553,5237,12614,10619,0,0,0,0,0,0
1,8,132.82,1595,5275,12714,10722,0,0,0,0,0,0
1,9,133.24,1639,5316,12815,10825,0,0,0,0,0,0
1,10,133.81,1681,5353,12920,10928,0,0,0,0,0,0
1,11,134.36,1723,5393,13021,11033,0,0,0,0,0,0
1,12,134.59,1767,5433,13125,11137,0,0,0,0,0,0
1,13,135.35,1811,5470,13230,11242,0,0,0,0,0,0
1,14,136.01,1853,5508,13334,11347,0,0,1.6,0,0,0
1,15,136.43,1895,5545,13435,11450,0,0,9.0,0,0,1
1,16,136.59,1935,5799,13540,12980,0,5.833333333333333,59.8,0,49.0,22
1,17,137.36,1975,5837,13641,13082,6.000000000000227,12.5,67.4,0,54.1,28
1,18,137.58,2016,5874,13744,13185,9.666666666666876,19.333333333333332,74.8,0,59.25,32
1,19,138.09,2056,5914,13845,13288,18.166666666666725,26.0,82.8,0,64.4,38
1,20,138.42,2097,5954,13950,13390,23.66666666666646,32.833333333333336,90.8,0,69.5,43
1,21,139.0,2138,5995,14051,13494,33.333333333333336,39.666666666666664,99.0,2.55,74.7,49
1,22,139.4,2181,6034,14155,13599,40.0000000000001,46.833333333333336,100,7.75,79.95,54
1,23,139.89,2225,6074,14256,13704,48.166666666666444,54.166666666666664,100,12.8,85.2,60
1,24,140.61,2268,6112,14358,13807,60.1666666666669,61.333333333333336,100,17.9,90.35,65
1,25,141.3,2309,6151,14461,13909,71.66666666666686,68.16666666666667,100,23.05,95.45,71
1,26,141.82,2351,6189,14562,14012,80.33333333333323,75.16666666666667,100,28.1,100,76
1,27,142.51,2391,6229,14667,14116,91.83333333333319,81.83333333333333,100,33.35,100,81
1,28,143.22,2433,6269,14770,14218,100,88.83333333333333,100,38.5,100,85
1,29,143.49,2474,6308,14871,14321,100,95.66666666666667,100,43.55,100,87
1,30,144.12,2514,6345,14975,14424,100,100,100,48.75,100,89
1,31,144.74,2557,6383,15076,14528,100,100,100,53.8,100,90
1,32,145.28,2597,6424,15176,14632,100,100,100,58.8,100,91
1,33,145.93,2640,6465,15278,14734,100,100,100,63.9,100,92
1,34,146.12,2680,6502,15382,14838,100,100,100,69.1,100,93
1,35,146.88,2722,6540,15487,14943,100,100,100,74.35,100,94
1,36,147.41,2764,6581,15587,15047,100,100,100,79.35,100,95
1,37,148.07,2807,6618,15691,15149,100,100,100,84.55,100,96
1,38,148.68,2851,6655,15791,15254,100,100,100,89.55,100,97
1,39,148.89,2893,6694,15891,15358,100,100,100,94.55,100,98
1,40,149.68,2934,6732,15994,15461,100,100,100,99.7,100,99
1,41,150.1,2978,6771,16097,15565,100,100,100,100,100,100
1,42,150.4,3022,6810,16198,15668,100,100,100,100,100,100
1,43,151.02,3066,6848,16298,15771,100,100,100,100,100,100
1,44,151.79,3108,6887,16400,15876,100,100,100,100,100,100
1,45,152.27,3150,6928,16502,15980,100,100,100,100,100,100
1,46,152.84,3193,6967,16606,16085,100,100,100,100,100,100
1,47,153.34,3236,7006,16706,16189,100,100,100,100,100,100
1,48,154.07,3278,7043,16805,16292,100,100,100,100,100,100
1,49,154.82,3322,7081,16909,16397,100,100,100,100,100,100
1,50,155.26,3366,7118,17010,16502,100,100,100,100,100,100
1,51,155.89,3407,7159,17110,16607,100,100,100,100,100,100
1,52,156.21,3448,7198,17209,16712,100,100,100,100,100,100
1,53,156.76,3488,7235,17309,16816,100,100,100,100,100,100
1,54,157.36,3530,7274,17411,16920,100,100,100,100,100,100
1,55,157.85,3572,7315,17510,17024,100,100,100,100,100,100
1,56,158.61,3613,7352,17612,17129,100,100,100,100,100,100
1,57,158.99,3655,7389,17714,17231,100,100,100,100,100,100
1,58,159.35,3696,7430,17815,17335,100,100,100,100,100,100
1,59,159.77,3739,7468,17918,17438,100,100,100,100,100,100
1,60,160.1,3781,7509,18021,17540,100,100,100,100,100,100
