engine,month,noise,egt,ff,n1,n2,fp_noise,fp_egt,fp_ff,fp_n1,fp_n2,failure_prob
1,1,130.0,1300,5000,12000,10000,0,0,0,0,0,0
1,2,130.18,1340,5037,12099,10102,0,0,0,0,0,0
1,3,130.78,1383,5078,12198,10204,0,0,0,0,0,0
1,4,131.55,1425,5116,12297,10307,0,0,0,0,0,0
1,5,131.83,1468,5155,12402,10410,0,0,0,0,0,0
1,6,132.14,1511,5196,12506,10514,0,0,0,0,0,0
1,7,132.72,1554,5236,12610,10617,0,0,0,0,0,0
1,8,133.39,1597,5276,12711,10722,0,0,0,0,0,0
1,9,133.7,1639,5313,12810,10824,0,0,0,0,0,0
1,10,133.86,1683,5352,12909,10927,0,0,0,0,0,0
1,11,134.58,1723,5393,13010,11032,0,0,0,0,0,0
1,12,135.07,1763,5433,13114,11134,0,0,0,0,0,0
1,13,135.58,1805,5471,13215,11239,0,0,0,0,0,0
1,14,136.33,1847,5509,13316,11344,1,0,1,0,0,0
1,15,136.8,1890,5548,13421,11448,2,0,9,0,0,1
1,16,137.0,2156,6087,13526,11552,5,11,30,0,0,8
1,17,137.7,2200,6125,13629,11655,11,18,38,0,0,12
1,18,137.86,2240,6164,13729,11759,17,25,46,0,0,17
1,19,138.28,2280,6201,13833,11863,25,32,54,0,0,21
1,20,138.54,2322,6241,13932,11965,32,39,61,0,0,25
1,21,139.3,2363,6282,14034,12069,40,46,69,1,3,31
1,22,139.61,2403,6319,14137,12174,48,53,77,7,8,38
1,23,139.8,2446,6358,14239,12276,55,60,85,12,13,44
1,24,140.33,2489,6399,14339,12379,63,67,93,17,19,51
1,25,140.88,2530,6439,14444,12484,71,74,100,22,24,57
1,26,141.22,2573,6480,14547,12587,78,81,100,27,29,62
1,27,141.9,2617,6521,14647,12692,85,88,100,32,34,67
1,28,142.66,2661,6560,14748,12797,91,95,100,37,39,71
1,29,143.28,2703,6599,14847,12900,95,100,100,42,44,75
1,30,143.57,2743,6638,14951,13002,97,100,100,47,50,78
1,31,143.79,2783,6678,15054,13104,97,100,100,52,55,80
1,32,143.94,2824,6716,15157,13209,97,100,100,58,60,82
1,33,144.25,2868,6754,15262,13311,97,100,100,63,65,84
1,34,144.79,2911,6792,15363,13416,97,100,100,68,70,86
1,35,145.49,2951,6830,15463,13521,100,100,100,73,75,88
1,36,146.21,2994,6868,15563,13624,100,100,100,78,81,91
1,37,146.49,3034,6905,15663,13726,100,100,100,83,86,93
1,38,146.65,3074,6943,15763,13830,97,100,100,88,91,94
1,39,147.11,3118,6981,15864,13935,97,100,100,93,96,96
1,40,147.83,3160,7018,15968,14037,100,100,100,100,100,99
1,41,148.48,3202,7055,16073,14142,100,100,100,100,100,100
1,42,148.79,3245,7095,16174,14245,100,100,100,100,100,100
1,43,149.36,3285,7133,16277,14349,100,100,100,100,100,100
1,44,149.83,3328,7174,16380,14452,100,100,100,100,100,100
1,45,150.13,3372,7212,16482,14554,100,100,100,100,100,100
1,46,150.82,3414,7251,16584,14656,100,100,100,100,100,100
1,47,151.03,3455,7292,16687,14760,97,100,100,100,100,99
1,48,151.68,3495,7329,16792,14863,100,100,100,100,100,100
1,49,152.24,3535,7367,16897,14965,100,100,100,100,100,100
1,50,152.88,3576,7407,16996,15068,100,100,100,100,100,100
1,51,153.1,3617,7444,17097,15173,100,100,100,100,100,100
1,52,153.27,3659,7482,17196,15277,97,100,100,100,100,99
1,53,153.5,3700,7520,17298,15381,97,100,100,100,100,99
1,54,153.92,3742,7561,17401,15484,96,100,100,100,100,99
1,55,154.67,3786,7601,17506,15587,97,100,100,100,100,99
1,56,154.83,3827,7642,17605,15689,96,100,100,100,100,99
1,57,155.37,3867,7682,17706,15792,96,100,100,100,100,99
1,58,156.01,3911,7722,17811,15897,97,100,100,100,100,99
1,59,156.58,3954,7761,17910,15999,97,100,100,100,100,99
1,60,156.77,3996,7802,18009,16103,96,100,100,100,100,99
